pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.216,0.216,3,basket_tp_pips,3,false,false,false,
GBPJPY,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.108,0.108,3,basket_tp_pips,3,false,false,false,
GBPUSD,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,1.1388,1.1388,3,basket_tp_pips,181,false,false,false,
NZDUSD,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,-0.702,1.3104,1.3104,3,session_close,240,false,false,false,
EURJPY,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.0324,0.0324,3,basket_tp_pips,6,false,false,false,
GBPJPY,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.0,0.0,3,basket_tp_pips,6,false,false,false,
GBPUSD,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.0,0.0,3,basket_tp_pips,9,false,false,false,
NZDUSD,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.8424,0.8424,3,basket_tp_pips,43,false,false,false,
EURJPY,asia,2026-01-05T23:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2026-01-05T23:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2026-01-05T23:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.468,0.3588,3,basket_tp_pips,122,false,false,false,
NZDUSD,asia,2026-01-05T23:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.156,0.0156,3,basket_tp_pips,147,false,false,false,
EURJPY,asia,2026-01-06T23:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPJPY,asia,2026-01-06T23:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.54,0.3888,3,basket_tp_pips,61,false,false,false,
GBPUSD,asia,2026-01-06T23:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,-0.0156,1.1232,0.5772,3,session_close,240,false,false,false,
NZDUSD,asia,2026-01-06T23:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,240,false,false,false,
EURJPY,asia,2026-01-07T23:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2026-01-07T23:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2026-01-07T23:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,240,false,false,false,
NZDUSD,asia,2026-01-07T23:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,240,false,false,false,
EURJPY,asia,2026-01-08T23:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,6,0.084416,-5.532019,9.613555,8.430739,6,session_close,240,false,false,false,
GBPJPY,asia,2026-01-08T23:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,6,0.084416,-8.83656,13.071328,12.835532,6,session_close,240,false,false,false,
GBPUSD,asia,2026-01-08T23:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.936,0.468,3,basket_tp_pips,231,false,false,false,
NZDUSD,asia,2026-01-08T23:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.8736,0.78,0.3588,3,session_close,240,false,false,false,
EURJPY,asia,2026-01-09T23:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-09T23:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-09T23:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-09T23:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-10T23:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-10T23:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-10T23:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-10T23:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-11T23:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.1404,0.111857,3,basket_tp_pips,81,false,false,false,
GBPJPY,asia,2026-01-11T23:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.959191,2.268,2.268,4,basket_tp_pips,89,false,false,false,
GBPUSD,asia,2026-01-11T23:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,6,0.084416,6.416972,16.783478,16.783478,6,basket_tp_pips,180,false,false,false,
NZDUSD,asia,2026-01-11T23:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,-0.312,1.2948,1.2948,3,session_close,236,false,false,false,
