pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,asia,2023-01-01T23:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.28205,16.933944,42.402546,42.402546,5,basket_tp_pips,40,false,false,false,
GBPJPY,asia,2023-01-02T23:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.2155,10.940098,0.0,0.0,4,basket_tp_pips,3,false,false,false,
GBPJPY,asia,2023-01-03T23:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.28205,16.933944,38.9664,38.0754,5,basket_tp_pips,46,false,false,false,
GBPJPY,asia,2023-01-04T23:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2023-01-05T23:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.155,5.303571,1.145925,1.145925,3,basket_tp_pips,8,false,false,false,
GBPJPY,asia,2023-01-06T23:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2023-01-07T23:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,11,false,false,false,
GBPJPY,asia,2023-01-08T23:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.2155,10.940098,11.978455,11.978455,4,basket_tp_pips,10,false,false,false,
GBPJPY,asia,2023-01-09T23:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.155,5.303571,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPJPY,asia,2023-01-10T23:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.155,5.303571,0.5445,0.3465,3,basket_tp_pips,46,false,false,false,
GBPJPY,asia,2023-01-11T23:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.2155,10.940098,1.0395,1.0395,4,basket_tp_pips,11,false,false,false,
GBPJPY,asia,2023-01-12T23:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.155,5.303571,3.267,3.267,3,basket_tp_pips,5,false,false,false,
GBPJPY,asia,2023-01-13T23:00:00.000000+0000,2023-01-14T03:00:00.000000+0000,2023-01-14T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,60,false,false,false,
GBPJPY,asia,2023-01-14T23:00:00.000000+0000,2023-01-15T03:00:00.000000+0000,2023-01-15T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,2,false,false,false,
GBPJPY,asia,2023-01-15T23:00:00.000000+0000,2023-01-16T03:00:00.000000+0000,2023-01-16T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.28205,-5.96178,31.654755,31.357755,5,session_close,60,false,false,false,
GBPJPY,asia,2023-01-16T23:00:00.000000+0000,2023-01-17T03:00:00.000000+0000,2023-01-17T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.28205,16.933944,20.871675,20.871675,5,basket_tp_pips,37,false,false,false,
GBPJPY,asia,2023-01-17T23:00:00.000000+0000,2023-01-18T03:00:00.000000+0000,2023-01-18T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.2155,10.940098,6.7716,6.7716,4,basket_tp_pips,76,false,false,false,
GBPJPY,asia,2023-01-18T23:00:00.000000+0000,2023-01-19T03:00:00.000000+0000,2023-01-19T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.28205,-73.180806,77.170995,69.86133,5,basket_sl_pips,109,false,false,false,
GBPJPY,asia,2023-01-19T23:00:00.000000+0000,2023-01-20T03:00:00.000000+0000,2023-01-20T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2023-01-20T23:00:00.000000+0000,2023-01-21T03:00:00.000000+0000,2023-01-21T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.2155,-10.862032,10.862032,10.862032,4,session_close,60,false,false,false,
GBPJPY,asia,2023-01-21T23:00:00.000000+0000,2023-01-22T03:00:00.000000+0000,2023-01-22T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,8,false,false,false,
GBPJPY,asia,2023-01-22T23:00:00.000000+0000,2023-01-23T03:00:00.000000+0000,2023-01-23T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.155,5.303571,1.1385,1.1385,3,basket_tp_pips,6,false,false,false,
