pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
EURJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.17154,0.0,0.0,4,basket_tp_pips,4
GBPJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.17154,0.0,0.0,4,basket_tp_pips,2
GBPUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-1.5444,1.6445,1.573,3,session_close,240
NZDUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-1.0582,1.4872,1.0725,3,session_close,240
EURJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.6534,0.2574,3,basket_tp_pips,36
GBPJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.6831,0.6831,3,basket_tp_pips,38
