pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,3.125684,0.2808,0.2808,5,basket_tp_pips,4,false,false,
GBPJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,6,0.07568,5.637529,0.0,0.0,6,basket_tp_pips,2,false,false,
GBPUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.4836,0.2808,3,basket_tp_pips,94,false,false,
NZDUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,-2.04048,2.34,2.0748,4,session_close,240,false,false,
EURJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.7128,0.7128,3,basket_tp_pips,38,false,false,
GBPJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.721591,1.4256,1.29384,4,basket_tp_pips,36,false,false,
GBPUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,-20.205367,24.152383,24.152383,7,session_close,420,false,false,
NZDUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.6708,0.1716,3,basket_tp_pips,72,false,false,
EURJPY,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,2.732564,6.386688,6.365088,5,basket_tp_pips,31,false,false,
GBPJPY,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0,0.0,3,basket_tp_pips,2,false,false,
GBPUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,2.486743,2.28072,2.28072,4,basket_tp_pips,24,false,false,
NZDUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,2.486743,2.0592,1.83456,4,basket_tp_pips,245,false,false,
EURJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.959191,1.25928,1.08,4,basket_tp_pips,96,false,false,
GBPJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,1.203549,0.922749,3,basket_tp_pips,54,false,false,
GBPUSD,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,-0.0624,0.5304,0.2028,3,session_close,240,false,false,
NZDUSD,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.4836,0.1872,3,basket_tp_pips,149,false,false,
EURJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.1512,0.1188,3,basket_tp_pips,38,false,false,
GBPJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.721591,1.84032,1.84032,4,basket_tp_pips,59,false,false,
GBPUSD,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,1.3572,0.8892,3,basket_tp_pips,258,false,false,
NZDUSD,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.4992,0.234,3,basket_tp_pips,273,false,false,
EURJPY,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.432,0.432,3,basket_tp_pips,14,false,false,
GBPJPY,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.648,0.648,3,basket_tp_pips,14,false,false,
GBPUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.7176,0.7176,3,basket_tp_pips,94,false,false,
NZDUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.9828,0.9828,3,basket_tp_pips,183,false,false,
EURJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
