pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.0,0.0,3,basket_tp_pips,2,false,false,
GBPJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.0,0.0,3,basket_tp_pips,2,false,false,
GBPUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,-9.3093,10.271625,9.589125,4,session_close,240,false,false,
NZDUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,1.105,1.105,1,basket_tp_pips,2,false,false,
EURJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.7128,0.4968,3,basket_tp_pips,37,false,false,
GBPJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,2.781,1.34415,3,basket_tp_pips,37,false,false,
GBPUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-59.623395,69.625015,69.625015,6,session_close,420,false,false,
