pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,asia,2023-01-01T23:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.204545,11.082309,22.11879,22.11879,4,basket_tp_pips,40,false,false,false,
GBPUSD,asia,2023-01-01T23:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,12.250983,4.095,2.184,4,basket_tp_pips,30,false,false,false,
NZDUSD,asia,2023-01-01T23:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,2023-01-02T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.0,0.0,3,basket_tp_pips,72,false,false,false,
GBPJPY,asia,2023-01-02T23:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.0,0.0,3,basket_tp_pips,3,false,false,false,
GBPUSD,asia,2023-01-02T23:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.0,0.0,3,basket_tp_pips,3,false,false,false,
NZDUSD,asia,2023-01-02T23:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,2023-01-03T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,5,0.260125,9.357075,7.73955,2.0475,5,session_close,240,false,false,false,
GBPJPY,asia,2023-01-03T23:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.204545,11.082309,19.63386,19.63386,4,basket_tp_pips,46,false,false,false,
GBPUSD,asia,2023-01-03T23:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,4.821863,22.94565,21.761512,4,session_close,240,false,false,false,
NZDUSD,asia,2023-01-03T23:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,2023-01-04T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,4,0.207625,12.250983,15.46545,15.46545,4,basket_tp_pips,234,false,false,false,
GBPJPY,asia,2023-01-04T23:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,5,0.259181,16.747076,42.437135,41.324735,5,basket_tp_pips,115,false,false,false,
GBPUSD,asia,2023-01-04T23:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.4095,0.4095,3,basket_tp_pips,94,false,false,false,
NZDUSD,asia,2023-01-04T23:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,2023-01-05T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,60,false,false,false,
GBPJPY,asia,2023-01-05T23:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,1.43685,0.04635,3,basket_tp_pips,62,false,false,false,
GBPUSD,asia,2023-01-05T23:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,7.5075,6.1425,3,basket_tp_pips,160,false,false,false,
NZDUSD,asia,2023-01-05T23:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,2023-01-06T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.0,0.0,3,basket_tp_pips,12,false,false,false,
GBPJPY,asia,2023-01-06T23:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,71,false,false,false,
GBPUSD,asia,2023-01-06T23:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2023-01-06T23:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,2023-01-07T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2023-01-07T23:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,11,false,false,false,
GBPUSD,asia,2023-01-07T23:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2023-01-07T23:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,2023-01-08T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2023-01-08T23:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPUSD,asia,2023-01-08T23:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,5,0.265506,18.630105,28.206867,28.206867,5,basket_tp_pips,79,false,false,false,
NZDUSD,asia,2023-01-08T23:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,2023-01-09T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,4,0.207625,12.250983,17.069325,16.864575,4,basket_tp_pips,90,false,false,false,
GBPJPY,asia,2023-01-09T23:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,6.6744,6.6744,3,basket_tp_pips,44,false,false,false,
GBPUSD,asia,2023-01-09T23:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,3.20775,3.20775,3,basket_tp_pips,67,false,false,false,
NZDUSD,asia,2023-01-09T23:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,2023-01-10T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.0,0.0,3,basket_tp_pips,3,false,false,false,
GBPJPY,asia,2023-01-10T23:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.204545,11.082309,9.792364,9.189814,4,basket_tp_pips,123,false,false,false,
GBPUSD,asia,2023-01-10T23:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,7.5075,4.7775,3,basket_tp_pips,125,false,false,false,
NZDUSD,asia,2023-01-10T23:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,2023-01-11T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPJPY,asia,2023-01-11T23:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.204545,11.082309,12.953434,12.953434,4,basket_tp_pips,15,false,false,false,
GBPUSD,asia,2023-01-11T23:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,4.914,2.184,3,basket_tp_pips,34,false,false,false,
NZDUSD,asia,2023-01-11T23:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,2023-01-12T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,3.549,1.56975,3,basket_tp_pips,161,false,false,false,
GBPJPY,asia,2023-01-12T23:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.0,0.0,3,basket_tp_pips,3,false,false,false,
GBPUSD,asia,2023-01-12T23:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,2023-01-13T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,4.095,4.095,3,basket_tp_pips,92,false,false,false,
