pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
NZDUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,2025-01-01T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,2025-01-02T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,19.188,8.39475,4.97835,2,basket_tp_pips,31,false,false,false,
NZDUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,2025-01-03T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,19.188,4.01895,4.01895,2,basket_tp_pips,21,false,false,false,
NZDUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,2025-01-04T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,2025-01-05T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,2025-01-06T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,40.342744,40.232349,40.232349,4,basket_tp_pips,73,false,false,false,
NZDUSD,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,2025-01-07T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,40.342744,18.04384,18.04384,4,basket_tp_pips,61,false,false,false,
NZDUSD,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,2025-01-08T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,-68.47227,90.713215,83.096515,4,daily_liquidation,471,true,false,false,
NZDUSD,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,2025-01-09T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,40.342744,33.721085,32.668085,4,basket_tp_pips,164,false,false,false,
NZDUSD,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,2025-01-10T20:30:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,19.188,5.5107,2.8197,2,basket_tp_pips,31,false,false,false,
