pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
NZDUSD,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,-57.378016,93.79688,77.045103,4,session_close,240,false,false,false,
NZDUSD,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,50.42843,61.916574,61.916574,4,basket_tp_pips,131,false,false,false,
NZDUSD,asia,2026-01-05T23:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,2026-01-06T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,23.985,13.4316,5.45805,2,basket_tp_pips,132,false,false,false,
NZDUSD,asia,2026-01-06T23:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,2026-01-07T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,7.674659,33.987602,24.095252,4,session_close,240,false,false,false,
NZDUSD,asia,2026-01-07T23:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,2026-01-08T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,3,0.283725,36.88425,15.122542,10.08774,3,basket_tp_pips,200,false,false,false,
NZDUSD,asia,2026-01-08T23:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,2026-01-09T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,3,0.283725,36.88425,12.171803,11.931953,3,basket_tp_pips,129,false,false,false,
NZDUSD,asia,2026-01-09T23:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,2026-01-10T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-10T23:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,2026-01-11T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-11T23:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,2026-01-12T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,-44.770908,81.805819,76.540819,4,session_close,236,false,false,false,
NZDUSD,asia,2026-01-12T23:00:00.000000+0000,2026-01-13T03:00:00.000000+0000,2026-01-13T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,4,0.387911,-11.488144,40.163833,37.710928,4,session_close,240,false,false,false,
NZDUSD,asia,2026-01-13T23:00:00.000000+0000,2026-01-14T03:00:00.000000+0000,2026-01-14T03:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,23.985,8.39475,4.2588,2,basket_tp_pips,128,false,false,false,
