pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
NZDUSD,london,2026-01-02T03:00:00.000000+0000,2026-01-02T10:00:00.000000+0000,2026-01-02T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,23.985,11.9925,4.2588,2,basket_tp_pips,95,false,false,false,
NZDUSD,london,2026-01-03T03:00:00.000000+0000,2026-01-03T10:00:00.000000+0000,2026-01-03T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,london,2026-01-04T03:00:00.000000+0000,2026-01-04T10:00:00.000000+0000,2026-01-04T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,london,2026-01-05T03:00:00.000000+0000,2026-01-05T10:00:00.000000+0000,2026-01-05T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,23.985,3.59775,2.57985,2,basket_tp_pips,25,false,false,false,
NZDUSD,london,2026-01-06T03:00:00.000000+0000,2026-01-06T10:00:00.000000+0000,2026-01-06T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,1,0.09,11.7,0.351,0.234,1,basket_tp_pips,11,false,false,false,
NZDUSD,london,2026-01-07T03:00:00.000000+0000,2026-01-07T10:00:00.000000+0000,2026-01-07T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,3,0.283725,36.88425,18.442125,13.407323,3,basket_tp_pips,119,false,false,false,
NZDUSD,london,2026-01-08T03:00:00.000000+0000,2026-01-08T10:00:00.000000+0000,2026-01-08T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,3,0.283725,36.88425,10.696433,8.981213,3,basket_tp_pips,186,false,false,false,
NZDUSD,london,2026-01-09T03:00:00.000000+0000,2026-01-09T10:00:00.000000+0000,2026-01-09T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,2,0.1845,23.985,8.26605,5.45805,2,basket_tp_pips,194,false,false,false,
NZDUSD,london,2026-01-10T03:00:00.000000+0000,2026-01-10T10:00:00.000000+0000,2026-01-10T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,london,2026-01-11T03:00:00.000000+0000,2026-01-11T10:00:00.000000+0000,2026-01-11T10:00:00.000000+0000,session_optimizer_asia_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
