pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.207345,11.303013,1.70568,1.70568,5,basket_tp_pips,4,false,false,false,
EURJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,0.63036,0.3708,3,basket_tp_pips,50,false,false,false,
EURJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.207345,-41.417817,42.517869,41.193742,5,basket_sl_pips,217,false,false,false,
EURJPY,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
EURJPY,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,4,0.163636,7.453089,8.235468,8.235468,4,basket_tp_pips,82,false,false,false,
EURJPY,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.207345,-13.801833,21.595347,21.595347,5,session_close,102,false,false,false,
EURJPY,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,4,0.163636,7.453089,3.342762,3.342762,4,basket_tp_pips,62,false,false,false,
EURJPY,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-11T23:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-12T23:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,1.70568,0.40788,3,basket_tp_pips,31,false,false,false,
EURJPY,asia,2025-01-13T23:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,2.07648,2.07648,3,basket_tp_pips,5,false,false,false,
EURJPY,asia,2025-01-14T23:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,0.29664,0.29664,3,basket_tp_pips,6,false,false,false,
EURJPY,asia,2025-01-15T23:00:00.000000+0000,2025-01-16T03:00:00.000000+0000,2025-01-16T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,0.0,0.0,3,basket_tp_pips,2,false,false,false,
EURJPY,asia,2025-01-16T23:00:00.000000+0000,2025-01-17T03:00:00.000000+0000,2025-01-17T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.207345,11.303013,18.042421,18.042421,5,basket_tp_pips,89,false,false,false,
EURJPY,asia,2025-01-17T23:00:00.000000+0000,2025-01-18T03:00:00.000000+0000,2025-01-18T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-18T23:00:00.000000+0000,2025-01-19T03:00:00.000000+0000,2025-01-19T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2025-01-19T23:00:00.000000+0000,2025-01-20T03:00:00.000000+0000,2025-01-20T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,4,0.163636,7.453089,5.684345,5.684345,4,basket_tp_pips,32,false,false,false,
EURJPY,asia,2025-01-20T23:00:00.000000+0000,2025-01-21T03:00:00.000000+0000,2025-01-21T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.207345,-41.417817,40.84317,40.62069,5,basket_sl_pips,111,false,false,false,
EURJPY,asia,2025-01-21T23:00:00.000000+0000,2025-01-22T03:00:00.000000+0000,2025-01-22T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,0.0,0.0,3,basket_tp_pips,5,false,false,false,
EURJPY,asia,2025-01-22T23:00:00.000000+0000,2025-01-23T03:00:00.000000+0000,2025-01-23T03:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1212,3.686081,0.03708,0.03708,3,basket_tp_pips,21,false,false,false,
