pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,7,0.37342,-87.957225,48.469734,46.430334,7,basket_sl_pips,208,false,false,false,
EURJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,5,0.256045,16.851633,3.485057,1.7613,5,basket_tp_pips,267,false,false,false,
EURJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1515,6.226426,0.756383,0.04635,3,basket_tp_pips,49,false,false,false,
EURJPY,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,6,0.315456,25.791254,34.299997,30.962797,6,basket_tp_pips,285,false,false,false,
EURJPY,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1515,6.226426,4.12515,0.927,3,basket_tp_pips,198,false,false,false,
EURJPY,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,7,0.37342,32.620995,51.351894,51.351894,7,basket_tp_pips,126,false,false,false,
EURJPY,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,3,0.1515,6.226426,3.3372,1.71495,3,basket_tp_pips,115,false,false,false,
EURJPY,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,london,2025-01-12T03:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,london,2025-01-13T03:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,7,0.37342,-87.957225,78.07783,73.498914,7,basket_sl_pips,154,false,false,false,
EURJPY,london,2025-01-14T03:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,london,2025-01-15T03:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,session_optimizer_asia_eurjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
