pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,0.0,0.0,9,basket_tp_pips,2,false,false,false,
GBPJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,29.286539,29.286539,9,basket_tp_pips,56,false,false,false,
GBPJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-111.017854,101.897274,101.897274,9,basket_sl_pips,71,false,false,false,
GBPJPY,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,60.415213,60.415213,9,basket_tp_pips,91,false,false,false,
GBPJPY,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,21.206143,21.206143,9,basket_tp_pips,31,false,false,false,
GBPJPY,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,102.284532,98.487789,9,basket_tp_pips,206,false,false,false,
GBPJPY,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2025-01-11T23:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2025-01-12T23:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,25.575905,15.896344,15.896344,9,basket_tp_pips,20,false,false,false,
GBPJPY,asia,2025-01-13T23:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,31.043996,45.072534,45.072534,9,basket_tp_pips,28,false,false,false,
GBPJPY,asia,2025-01-14T23:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,-23.136012,39.772155,35.173422,9,session_close,184,false,false,false,
