pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,6,0.252365,16.116645,12.781381,12.744301,6,basket_tp_pips,43,false,false,false,
GBPJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,7,0.293565,18.821801,10.057522,5.855697,7,basket_tp_pips,59,false,false,false,
GBPJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,4,0.163636,7.857257,3.76362,3.208903,4,basket_tp_pips,32,false,false,false,
GBPJPY,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.204836,8.635387,0.916618,0.11124,5,basket_tp_pips,48,false,false,false,
GBPJPY,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-107.070414,87.536387,87.536387,9,basket_sl_pips,63,false,false,false,
GBPJPY,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,4,0.163636,7.857257,6.774516,4.940168,4,basket_tp_pips,149,false,false,false,
GBPJPY,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-12T03:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-13T03:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.207345,11.93533,5.846841,5.846841,5,basket_tp_pips,11,false,false,false,
GBPJPY,london,2025-01-14T03:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-15T03:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,-67.859569,68.835883,64.634058,9,basket_sl_pips,134,false,false,false,
GBPJPY,london,2025-01-16T03:00:00.000000+0000,2025-01-16T10:00:00.000000+0000,2025-01-16T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.207345,11.93533,11.324647,7.107556,5,basket_tp_pips,27,false,false,false,
GBPJPY,london,2025-01-17T03:00:00.000000+0000,2025-01-17T10:00:00.000000+0000,2025-01-17T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.207345,11.93533,7.781742,6.076062,5,basket_tp_pips,32,false,false,false,
GBPJPY,london,2025-01-18T03:00:00.000000+0000,2025-01-18T10:00:00.000000+0000,2025-01-18T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-19T03:00:00.000000+0000,2025-01-19T10:00:00.000000+0000,2025-01-19T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-20T03:00:00.000000+0000,2025-01-20T10:00:00.000000+0000,2025-01-20T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.204836,8.635387,0.03708,0.03708,5,basket_tp_pips,10,false,false,false,
GBPJPY,london,2025-01-21T03:00:00.000000+0000,2025-01-21T10:00:00.000000+0000,2025-01-21T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.204836,8.635387,3.811082,3.811082,5,basket_tp_pips,4,false,false,false,
GBPJPY,london,2025-01-22T03:00:00.000000+0000,2025-01-22T10:00:00.000000+0000,2025-01-22T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,4,0.163636,7.857257,4.639079,4.639079,4,basket_tp_pips,13,false,false,false,
GBPJPY,london,2025-01-23T03:00:00.000000+0000,2025-01-23T10:00:00.000000+0000,2025-01-23T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,29.308962,49.657496,48.575872,9,basket_tp_pips,219,false,false,false,
GBPJPY,london,2025-01-24T03:00:00.000000+0000,2025-01-24T10:00:00.000000+0000,2025-01-24T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,29.469167,9.209551,5.501551,9,basket_tp_pips,24,false,false,false,
GBPJPY,london,2025-01-25T03:00:00.000000+0000,2025-01-25T10:00:00.000000+0000,2025-01-25T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-26T03:00:00.000000+0000,2025-01-26T10:00:00.000000+0000,2025-01-26T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-01-27T03:00:00.000000+0000,2025-01-27T10:00:00.000000+0000,2025-01-27T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-107.070414,104.583809,104.583809,9,basket_sl_pips,184,false,false,false,
GBPJPY,london,2025-01-28T03:00:00.000000+0000,2025-01-28T10:00:00.000000+0000,2025-01-28T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.339936,24.086439,15.191408,10.223059,8,basket_tp_pips,39,false,false,false,
GBPJPY,london,2025-01-29T03:00:00.000000+0000,2025-01-29T10:00:00.000000+0000,2025-01-29T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-107.070414,101.284567,101.284567,9,basket_sl_pips,159,false,false,false,
GBPJPY,london,2025-01-30T03:00:00.000000+0000,2025-01-30T10:00:00.000000+0000,2025-01-30T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,29.469167,28.196728,23.87765,9,basket_tp_pips,131,false,false,false,
GBPJPY,london,2025-01-31T03:00:00.000000+0000,2025-01-31T10:00:00.000000+0000,2025-01-31T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,-67.859569,73.167807,66.864508,9,basket_sl_pips,142,false,false,false,
GBPJPY,london,2025-02-01T03:00:00.000000+0000,2025-02-01T10:00:00.000000+0000,2025-02-01T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-02T03:00:00.000000+0000,2025-02-02T10:00:00.000000+0000,2025-02-02T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-03T03:00:00.000000+0000,2025-02-03T10:00:00.000000+0000,2025-02-03T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.339936,24.086439,17.724623,9.099047,8,basket_tp_pips,48,false,false,false,
GBPJPY,london,2025-02-04T03:00:00.000000+0000,2025-02-04T10:00:00.000000+0000,2025-02-04T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.346498,24.800522,29.335858,29.187538,8,basket_tp_pips,25,false,false,false,
GBPJPY,london,2025-02-05T03:00:00.000000+0000,2025-02-05T10:00:00.000000+0000,2025-02-05T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPJPY,london,2025-02-06T03:00:00.000000+0000,2025-02-06T10:00:00.000000+0000,2025-02-06T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,7,0.298736,20.404089,22.844956,22.844956,7,basket_tp_pips,59,false,false,false,
GBPJPY,london,2025-02-07T03:00:00.000000+0000,2025-02-07T10:00:00.000000+0000,2025-02-07T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,6,0.252365,16.116645,18.328927,18.328927,6,basket_tp_pips,42,false,false,false,
GBPJPY,london,2025-02-08T03:00:00.000000+0000,2025-02-08T10:00:00.000000+0000,2025-02-08T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-09T03:00:00.000000+0000,2025-02-09T10:00:00.000000+0000,2025-02-09T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-10T03:00:00.000000+0000,2025-02-10T10:00:00.000000+0000,2025-02-10T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,6,0.248545,13.672414,4.700718,1.33488,6,basket_tp_pips,63,false,false,false,
GBPJPY,london,2025-02-11T03:00:00.000000+0000,2025-02-11T10:00:00.000000+0000,2025-02-11T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.339936,24.086439,27.802138,11.655565,8,basket_tp_pips,241,false,false,false,
GBPJPY,london,2025-02-12T03:00:00.000000+0000,2025-02-12T10:00:00.000000+0000,2025-02-12T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.346498,24.800522,43.363928,32.545413,8,basket_tp_pips,123,false,false,false,
GBPJPY,london,2025-02-13T03:00:00.000000+0000,2025-02-13T10:00:00.000000+0000,2025-02-13T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-107.070414,107.091795,106.572675,9,basket_sl_pips,96,false,false,false,
GBPJPY,london,2025-02-14T03:00:00.000000+0000,2025-02-14T10:00:00.000000+0000,2025-02-14T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.207345,11.93533,9.05423,7.107556,5,basket_tp_pips,57,false,false,false,
GBPJPY,london,2025-02-15T03:00:00.000000+0000,2025-02-15T10:00:00.000000+0000,2025-02-15T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-16T03:00:00.000000+0000,2025-02-16T10:00:00.000000+0000,2025-02-16T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,london,2025-02-17T03:00:00.000000+0000,2025-02-17T10:00:00.000000+0000,2025-02-17T10:00:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,5,0.204836,8.635387,1.336734,0.07416,5,basket_tp_pips,24,false,false,false,
