pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,2025-01-01T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,2025-01-02T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-111.017854,105.022634,105.022634,9,basket_sl_pips,22,false,false,false,
GBPJPY,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,2025-01-03T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,15.217956,14.498604,9,basket_tp_pips,17,false,false,false,
GBPJPY,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,2025-01-04T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,2025-01-05T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,2025-01-06T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,0.0,0.0,9,basket_tp_pips,2,false,false,false,
GBPJPY,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,2025-01-07T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,17.751872,10.748408,10.748408,9,basket_tp_pips,6,false,false,false,
GBPJPY,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,2025-01-08T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.336001,13.240185,4.539258,4.539258,8,basket_tp_pips,4,false,false,false,
GBPJPY,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,2025-01-09T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,23.195009,23.195009,9,basket_tp_pips,9,false,false,false,
GBPJPY,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,2025-01-10T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,17.751872,6.639534,2.100942,9,basket_tp_pips,11,false,false,false,
GBPJPY,new_york,2025-01-11T13:00:00.000000+0000,2025-01-11T21:00:00.000000+0000,2025-01-11T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-12T13:00:00.000000+0000,2025-01-12T21:00:00.000000+0000,2025-01-12T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-13T13:00:00.000000+0000,2025-01-13T21:00:00.000000+0000,2025-01-13T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,8,0.336001,13.240185,4.849515,4.849515,8,basket_tp_pips,5,false,false,false,
GBPJPY,new_york,2025-01-14T13:00:00.000000+0000,2025-01-14T21:00:00.000000+0000,2025-01-14T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-15T13:00:00.000000+0000,2025-01-15T21:00:00.000000+0000,2025-01-15T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,-40.611328,30.788614,27.356208,9,basket_sl_pips,31,false,false,false,
GBPJPY,new_york,2025-01-16T13:00:00.000000+0000,2025-01-16T21:00:00.000000+0000,2025-01-16T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,7,0.290981,8.836721,3.049321,3.049321,7,basket_tp_pips,3,false,false,false,
GBPJPY,new_york,2025-01-17T13:00:00.000000+0000,2025-01-17T21:00:00.000000+0000,2025-01-17T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,17.751872,35.577954,31.039362,9,basket_tp_pips,91,false,false,false,
GBPJPY,new_york,2025-01-18T13:00:00.000000+0000,2025-01-18T21:00:00.000000+0000,2025-01-18T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-19T13:00:00.000000+0000,2025-01-19T21:00:00.000000+0000,2025-01-19T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-20T13:00:00.000000+0000,2025-01-20T21:00:00.000000+0000,2025-01-20T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,7,0.290981,8.836721,4.080816,4.080816,7,basket_tp_pips,6,false,false,false,
GBPJPY,new_york,2025-01-21T13:00:00.000000+0000,2025-01-21T21:00:00.000000+0000,2025-01-21T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,13.751354,12.268154,9,basket_tp_pips,21,false,false,false,
GBPJPY,new_york,2025-01-22T13:00:00.000000+0000,2025-01-22T21:00:00.000000+0000,2025-01-22T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,31.013037,29.300683,9,basket_tp_pips,33,false,false,false,
GBPJPY,new_york,2025-01-23T13:00:00.000000+0000,2025-01-23T21:00:00.000000+0000,2025-01-23T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,39.674183,39.674183,9,basket_tp_pips,30,false,false,false,
GBPJPY,new_york,2025-01-24T13:00:00.000000+0000,2025-01-24T21:00:00.000000+0000,2025-01-24T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.37971,14.073438,6.090543,6.090543,9,basket_tp_pips,5,false,false,false,
GBPJPY,new_york,2025-01-25T13:00:00.000000+0000,2025-01-25T21:00:00.000000+0000,2025-01-25T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-26T13:00:00.000000+0000,2025-01-26T21:00:00.000000+0000,2025-01-26T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-01-27T13:00:00.000000+0000,2025-01-27T21:00:00.000000+0000,2025-01-27T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,16.660164,16.660164,9,basket_tp_pips,4,false,false,false,
GBPJPY,new_york,2025-01-28T13:00:00.000000+0000,2025-01-28T21:00:00.000000+0000,2025-01-28T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.382372,17.751872,16.669064,9.882702,9,basket_tp_pips,31,false,false,false,
GBPJPY,new_york,2025-01-29T13:00:00.000000+0000,2025-01-29T21:00:00.000000+0000,2025-01-29T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,-111.017854,109.852737,109.852737,9,basket_sl_pips,35,false,false,false,
GBPJPY,new_york,2025-01-30T13:00:00.000000+0000,2025-01-30T21:00:00.000000+0000,2025-01-30T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,57.289853,57.289853,9,basket_tp_pips,31,false,false,false,
GBPJPY,new_york,2025-01-31T13:00:00.000000+0000,2025-01-31T21:00:00.000000+0000,2025-01-31T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,53.027997,53.027997,9,basket_tp_pips,25,false,false,false,
GBPJPY,new_york,2025-02-01T13:00:00.000000+0000,2025-02-01T21:00:00.000000+0000,2025-02-01T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-02-02T13:00:00.000000+0000,2025-02-02T21:00:00.000000+0000,2025-02-02T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-02-03T13:00:00.000000+0000,2025-02-03T21:00:00.000000+0000,2025-02-03T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,-75.808195,68.840482,68.840482,9,basket_sl_pips,18,false,false,false,
GBPJPY,new_york,2025-02-04T13:00:00.000000+0000,2025-02-04T21:00:00.000000+0000,2025-02-04T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,31.150472,31.150472,9,basket_tp_pips,21,false,false,false,
GBPJPY,new_york,2025-02-05T13:00:00.000000+0000,2025-02-05T21:00:00.000000+0000,2025-02-05T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,15.896344,15.896344,9,basket_tp_pips,12,false,false,false,
GBPJPY,new_york,2025-02-06T13:00:00.000000+0000,2025-02-06T21:00:00.000000+0000,2025-02-06T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,28.309235,28.309235,9,basket_tp_pips,6,false,false,false,
GBPJPY,new_york,2025-02-07T13:00:00.000000+0000,2025-02-07T21:00:00.000000+0000,2025-02-07T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,40.061442,37.685317,9,basket_tp_pips,31,false,false,false,
GBPJPY,new_york,2025-02-08T13:00:00.000000+0000,2025-02-08T21:00:00.000000+0000,2025-02-08T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-02-09T13:00:00.000000+0000,2025-02-09T21:00:00.000000+0000,2025-02-09T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,new_york,2025-02-10T13:00:00.000000+0000,2025-02-10T21:00:00.000000+0000,2025-02-10T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,15.070558,14.457254,9,basket_tp_pips,10,false,false,false,
GBPJPY,new_york,2025-02-11T13:00:00.000000+0000,2025-02-11T21:00:00.000000+0000,2025-02-11T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,12.538469,12.538469,9,basket_tp_pips,6,false,false,false,
GBPJPY,new_york,2025-02-12T13:00:00.000000+0000,2025-02-12T21:00:00.000000+0000,2025-02-12T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.387698,21.520541,65.051708,63.568508,9,basket_tp_pips,32,false,false,false,
GBPJPY,new_york,2025-02-13T13:00:00.000000+0000,2025-02-13T21:00:00.000000+0000,2025-02-13T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,18.64903,18.64903,9,basket_tp_pips,7,false,false,false,
GBPJPY,new_york,2025-02-14T13:00:00.000000+0000,2025-02-14T21:00:00.000000+0000,2025-02-14T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,9,0.395693,25.361522,58.142224,58.142224,9,basket_tp_pips,31,false,false,false,
GBPJPY,new_york,2025-02-15T13:00:00.000000+0000,2025-02-15T21:00:00.000000+0000,2025-02-15T20:30:00.000000+0000,session_optimizer_asia_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
