pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPUSD,asia,2025-01-01T23:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,2025-01-02T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-11.2749,13.377,11.466,3,session_close,240,false,false,false,
GBPUSD,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,4.10865,4.10865,3,basket_tp_pips,93,false,false,false,
GBPUSD,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,1.911,0.3822,3,basket_tp_pips,111,false,false,false,
GBPUSD,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,2.38875,2.38875,3,basket_tp_pips,136,false,false,false,
GBPUSD,asia,2025-01-09T23:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,2025-01-10T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,3.91755,2.19765,3,basket_tp_pips,147,false,false,false,
GBPUSD,asia,2025-01-10T23:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,2025-01-11T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-11T23:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,2025-01-12T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-12T23:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,2025-01-13T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,6.3063,4.7775,3,basket_tp_pips,181,false,false,false,
GBPUSD,asia,2025-01-13T23:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,2025-01-14T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,6.4974,6.4974,3,basket_tp_pips,16,false,false,false,
GBPUSD,asia,2025-01-14T23:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,2025-01-15T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-2.2932,11.466,6.97515,3,session_close,240,false,false,false,
GBPUSD,asia,2025-01-15T23:00:00.000000+0000,2025-01-16T03:00:00.000000+0000,2025-01-16T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2025-01-16T23:00:00.000000+0000,2025-01-17T03:00:00.000000+0000,2025-01-17T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2025-01-17T23:00:00.000000+0000,2025-01-18T03:00:00.000000+0000,2025-01-18T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-18T23:00:00.000000+0000,2025-01-19T03:00:00.000000+0000,2025-01-19T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-19T23:00:00.000000+0000,2025-01-20T03:00:00.000000+0000,2025-01-20T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-7.0707,16.33905,8.69505,3,session_close,240,false,false,false,
GBPUSD,asia,2025-01-20T23:00:00.000000+0000,2025-01-21T03:00:00.000000+0000,2025-01-21T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,4.29975,2.1021,3,basket_tp_pips,32,false,false,false,
GBPUSD,asia,2025-01-21T23:00:00.000000+0000,2025-01-22T03:00:00.000000+0000,2025-01-22T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2025-01-22T23:00:00.000000+0000,2025-01-23T03:00:00.000000+0000,2025-01-23T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-01-23T23:00:00.000000+0000,2025-01-24T03:00:00.000000+0000,2025-01-24T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,5,0.371709,-64.995528,75.004203,67.706523,5,session_close,240,false,false,false,
GBPUSD,asia,2025-01-24T23:00:00.000000+0000,2025-01-25T03:00:00.000000+0000,2025-01-25T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-25T23:00:00.000000+0000,2025-01-26T03:00:00.000000+0000,2025-01-26T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-01-26T23:00:00.000000+0000,2025-01-27T03:00:00.000000+0000,2025-01-27T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,1.911,1.911,3,basket_tp_pips,86,false,false,false,
GBPUSD,asia,2025-01-27T23:00:00.000000+0000,2025-01-28T03:00:00.000000+0000,2025-01-28T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,5,0.371709,-65.597971,93.611589,93.611589,5,session_close,240,false,false,false,
GBPUSD,asia,2025-01-28T23:00:00.000000+0000,2025-01-29T03:00:00.000000+0000,2025-01-29T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-01-29T23:00:00.000000+0000,2025-01-30T03:00:00.000000+0000,2025-01-30T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-01-30T23:00:00.000000+0000,2025-01-31T03:00:00.000000+0000,2025-01-31T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,4.49085,4.49085,3,basket_tp_pips,107,false,false,false,
GBPUSD,asia,2025-01-31T23:00:00.000000+0000,2025-02-01T03:00:00.000000+0000,2025-02-01T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-01T23:00:00.000000+0000,2025-02-02T03:00:00.000000+0000,2025-02-02T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-02T23:00:00.000000+0000,2025-02-03T03:00:00.000000+0000,2025-02-03T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,4.29975,4.29975,3,basket_tp_pips,15,false,false,false,
GBPUSD,asia,2025-02-03T23:00:00.000000+0000,2025-02-04T03:00:00.000000+0000,2025-02-04T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,4,0.290675,5.207475,32.8692,28.0917,4,session_close,240,false,false,false,
GBPUSD,asia,2025-02-04T23:00:00.000000+0000,2025-02-05T03:00:00.000000+0000,2025-02-05T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-02-05T23:00:00.000000+0000,2025-02-06T03:00:00.000000+0000,2025-02-06T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,2,0.14,0.0,0.0,0.0,2,session_close,240,false,false,false,
GBPUSD,asia,2025-02-06T23:00:00.000000+0000,2025-02-07T03:00:00.000000+0000,2025-02-07T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,2.57985,0.1911,3,basket_tp_pips,80,false,false,false,
GBPUSD,asia,2025-02-07T23:00:00.000000+0000,2025-02-08T03:00:00.000000+0000,2025-02-08T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-08T23:00:00.000000+0000,2025-02-09T03:00:00.000000+0000,2025-02-09T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-09T23:00:00.000000+0000,2025-02-10T03:00:00.000000+0000,2025-02-10T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,10.41495,8.50395,3,basket_tp_pips,163,false,false,false,
GBPUSD,asia,2025-02-10T23:00:00.000000+0000,2025-02-11T03:00:00.000000+0000,2025-02-11T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-9.9372,18.1545,10.8927,3,session_close,240,false,false,false,
GBPUSD,asia,2025-02-11T23:00:00.000000+0000,2025-02-12T03:00:00.000000+0000,2025-02-12T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,6.3063,2.38875,1.05105,3,session_close,233,false,false,false,
GBPUSD,asia,2025-02-12T23:00:00.000000+0000,2025-02-13T03:00:00.000000+0000,2025-02-13T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-5.06415,9.65055,6.59295,3,session_close,240,false,false,false,
GBPUSD,asia,2025-02-13T23:00:00.000000+0000,2025-02-14T03:00:00.000000+0000,2025-02-14T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2025-02-14T23:00:00.000000+0000,2025-02-15T03:00:00.000000+0000,2025-02-15T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-15T23:00:00.000000+0000,2025-02-16T03:00:00.000000+0000,2025-02-16T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2025-02-16T23:00:00.000000+0000,2025-02-17T03:00:00.000000+0000,2025-02-17T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,9.881268,5.5419,3.0576,3,basket_tp_pips,181,false,false,false,
GBPUSD,asia,2025-02-17T23:00:00.000000+0000,2025-02-18T03:00:00.000000+0000,2025-02-18T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.2135,-2.19765,10.03275,9.555,3,session_close,240,false,false,false,
GBPUSD,asia,2025-02-18T23:00:00.000000+0000,2025-02-19T03:00:00.000000+0000,2025-02-19T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,asia,2025-02-19T23:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
