pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.378781,-72.979181,79.606766,72.781766,7,basket_sl_pips,408,false,false,false,
GBPUSD,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.318006,24.095842,6.761355,0.0,6,basket_tp_pips,261,false,false,false,
GBPUSD,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,false,true,false,
GBPUSD,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-110.84932,109.509774,108.827274,6,basket_sl_pips,365,false,false,false,
GBPUSD,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.378781,-42.509116,70.344239,63.519239,7,session_close,420,false,false,false,
GBPUSD,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-110.84932,91.097449,89.118199,6,basket_sl_pips,191,false,false,false,
GBPUSD,london,2025-01-10T03:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,2025-01-10T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,27.408371,78.537757,76.763257,6,basket_tp_pips,331,false,false,false,
GBPUSD,london,2025-01-11T03:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,2025-01-11T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,london,2025-01-12T03:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,2025-01-12T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,london,2025-01-13T03:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,2025-01-13T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-110.84932,105.297291,105.297291,6,basket_sl_pips,95,false,false,false,
GBPUSD,london,2025-01-14T03:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,2025-01-14T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.442134,0.47775,0.47775,3,basket_tp_pips,6,false,false,false,
GBPUSD,london,2025-01-15T03:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,2025-01-15T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,13.149545,7.906762,5.791012,4,basket_tp_pips,235,false,false,false,
GBPUSD,london,2025-01-16T03:00:00.000000+0000,2025-01-16T10:00:00.000000+0000,2025-01-16T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.378781,33.20101,8.814468,2.73,7,basket_tp_pips,241,false,false,false,
GBPUSD,london,2025-01-17T03:00:00.000000+0000,2025-01-17T10:00:00.000000+0000,2025-01-17T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-110.84932,101.228667,96.178167,6,basket_sl_pips,243,false,false,false,
GBPUSD,london,2025-01-18T03:00:00.000000+0000,2025-01-18T10:00:00.000000+0000,2025-01-18T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,london,2025-01-19T03:00:00.000000+0000,2025-01-19T10:00:00.000000+0000,2025-01-19T10:00:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
