pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPUSD,new_york,2025-01-01T13:00:00.000000+0000,2025-01-01T21:00:00.000000+0000,2025-01-01T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,2025-01-02T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.390095,-3.885349,117.054775,116.645275,7,daily_liquidation,471,true,false,false,
GBPUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,2025-01-03T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,10.820122,1.7745,1.7745,3,basket_tp_pips,102,false,false,false,
GBPUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,2025-01-04T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,2025-01-05T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,2025-01-06T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,10.820122,7.098,1.365,3,basket_tp_pips,35,false,false,false,
GBPUSD,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,2025-01-07T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.378781,-2.619146,39.992243,11.203928,7,daily_liquidation,471,true,false,false,
GBPUSD,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,2025-01-08T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,10.820122,3.75375,3.75375,3,basket_tp_pips,8,false,false,false,
GBPUSD,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,2025-01-09T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,22.044858,18.963262,16.165012,4,basket_tp_pips,59,false,false,false,
GBPUSD,new_york,2025-01-10T13:00:00.000000+0000,2025-01-10T21:00:00.000000+0000,2025-01-10T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.390095,140.552952,0.0,0.0,7,drawdown_limit,31,false,false,false,
GBPUSD,new_york,2025-01-11T13:00:00.000000+0000,2025-01-11T21:00:00.000000+0000,2025-01-11T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,new_york,2025-01-12T13:00:00.000000+0000,2025-01-12T21:00:00.000000+0000,2025-01-12T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,new_york,2025-01-13T13:00:00.000000+0000,2025-01-13T21:00:00.000000+0000,2025-01-13T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.390095,-54.797021,100.763389,87.229642,7,daily_liquidation,471,true,false,false,
GBPUSD,new_york,2025-01-14T13:00:00.000000+0000,2025-01-14T21:00:00.000000+0000,2025-01-14T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,5,0.260125,31.866147,9.029475,9.029475,5,basket_tp_pips,31,false,false,false,
GBPUSD,new_york,2025-01-15T13:00:00.000000+0000,2025-01-15T21:00:00.000000+0000,2025-01-15T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,7,0.390095,67.013869,5.3235,5.3235,7,drawdown_limit,31,false,false,false,
GBPUSD,new_york,2025-01-16T13:00:00.000000+0000,2025-01-16T21:00:00.000000+0000,2025-01-16T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,10.820122,14.40075,7.30275,3,basket_tp_pips,116,false,false,false,
GBPUSD,new_york,2025-01-17T13:00:00.000000+0000,2025-01-17T21:00:00.000000+0000,2025-01-17T20:30:00.000000+0000,session_optimizer_asia_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,22.044858,16.274212,12.247462,4,basket_tp_pips,91,false,false,false,
