week_start,week_end,pair,session,enabled,forward_total_pnl,forward_max_dd,forward_trade_count,forward_event_gated_sessions,forward_status
2025-01-01,2025-01-08,GBPJPY,asia,True,1.759971,21.264846,26,1,ok
2025-01-08,2025-01-15,GBPJPY,asia,True,22.542722,7.94832,24,0,ok
2025-01-15,2025-01-22,GBPJPY,asia,True,4.795037,22.504935,28,0,ok
2025-01-22,2025-01-29,GBPJPY,asia,True,-10.858932,21.487784,14,2,ok
2025-01-29,2025-02-05,GBPJPY,asia,True,-3.87544,8.528,14,1,ok
2025-02-05,2025-02-12,GBPJPY,asia,True,-54.0,22.7,34,1,ok
2025-02-12,2025-02-19,GBPJPY,asia,True,7.429013,4.08436,19,1,ok
2025-02-19,2025-02-26,GBPJPY,asia,True,2.118815,0.823247,10,2,ok
2025-02-26,2025-03-05,GBPJPY,asia,True,-17.666521,19.789152,18,1,ok
2025-03-05,2025-03-12,GBPJPY,asia,True,8.962786,9.78092,12,2,ok
2025-03-12,2025-03-19,GBPJPY,asia,True,-13.440462,18.47664,23,0,ok
2025-03-19,2025-03-26,GBPJPY,asia,True,-33.843157,21.832385,17,1,ok
2025-03-26,2025-03-31,GBPJPY,asia,True,2.639652,0.9545,9,0,ok
