rebalance_date,training_start,training_end,pair,session,enabled,initial_lot,grid_level,multiplier,step_pips,basket_tp_pips,profit_target_currency,max_dd_currency,training_sessions_used,training_total_pnl,training_max_dd,training_score
2025-01-01,2024-12-04,2024-12-31,GBPJPY,asia,True,0.01,5,1.15,5.0,12.0,,200.0,23,458.449349,99.917412,458.449349
2025-01-08,2024-12-11,2025-01-07,GBPJPY,asia,True,0.01,4,1.2,8.0,12.0,,200.0,24,355.483514,76.0032,355.483514
2025-01-15,2024-12-18,2025-01-14,GBPJPY,asia,True,0.01,5,1.15,6.0,12.0,,200.0,24,368.001963,99.917412,368.001963
2025-01-22,2024-12-25,2025-01-21,GBPJPY,asia,True,0.01,4,1.354,6.0,10.0,,200.0,26,365.562143,105.471804,365.562143
2025-01-29,2025-01-01,2025-01-28,GBPJPY,asia,True,0.01,3,1.3,12.0,7.0,,200.0,25,163.18765,47.268,163.18765
2025-02-05,2025-01-08,2025-02-04,GBPJPY,asia,True,0.01,7,1.0,5.0,8.0,,200.0,25,327.0,54.142883,327.0
2025-02-12,2025-01-15,2025-02-11,GBPJPY,asia,True,0.01,4,1.354,4.0,2.0,,200.0,24,73.847406,3.982928,73.847406
2025-02-19,2025-01-22,2025-02-18,GBPJPY,asia,True,0.01,4,1.354,4.0,2.0,,200.0,23,82.847788,20.42188,82.847788
2025-02-26,2025-01-29,2025-02-25,GBPJPY,asia,True,0.01,4,1.354,4.0,2.0,,200.0,23,79.024903,20.42188,79.024903
2025-03-05,2025-02-05,2025-03-04,GBPJPY,asia,True,0.01,5,1.15,11.0,7.0,,200.0,23,174.765375,110.012571,174.765375
2025-03-12,2025-02-12,2025-03-11,GBPJPY,asia,True,0.01,4,1.2,9.0,12.0,,200.0,22,280.360279,79.0872,280.360279
2025-03-19,2025-02-19,2025-03-18,GBPJPY,asia,True,0.01,4,1.354,11.0,12.0,,200.0,23,304.527298,96.697953,304.527298
2025-03-26,2025-02-26,2025-03-25,GBPJPY,asia,True,0.01,5,1.15,10.0,3.0,,200.0,24,159.439069,82.008607,159.439069
