feature,importance
rolling_std_15m_30,1493
avg_range_frac_60,1320
ret_prev_5m,1316
rolling_std_5m_30,1305
range_width_60,1301
ret_prev_240m,1276
ret_prev_60m,1240
ret_prev_15m,1211
dist_from_mean_60,959
event_month,785
event_hour,678
event_weekday,517
event_year,291
importance_score_filled,276
avoid_asia,197
avoid_london,181
is_gbp_event,93
is_eur_event,60
cat_pmi,57
is_usd_event,55
cat_agriculture,53
risk_prior_halt,46
pair_eurjpy,46
pair_nzdusd,45
is_nzd_event,38
pair_has_gbp_base,34
pair_is_jpy_cross,28
is_jpy_event,25
cat_inflation,24
pair_gbpusd,24
cat_auction,23
cat_sentiment,21
cat_other,17
pair,16
pair_gbpjpy,11
risk_prior_reduce,7
pair_has_usd_quote,3
cat_gdp,1
avoid_both,0
cat_central_bank,0
cat_employment,0
cat_retail_sales,0
cat_trade,0
cat_housing,0
cat_speech,0
