feature,importance
intraday_rvol_5m_30,605
intraday_avg_range_frac_60,539
lag_range_1,387
std_range_10,324
avg_return_frac_5,319
intraday_ret_60m,292
avg_body_5,281
avg_ret_5,269
avg_range_frac_5,219
avg_range_5,218
day_of_week,196
month_num,167
avg_range_10,145
lag_range_2,133
lag_range_3,105
session_name,95
major_event_count_24h,85
max_abs_surprise_24h,85
pair,60
noisy_event_count_24h,56
avg_abs_surprise_24h,54
event_count_24h,50
pre_asia_importance_sum,48
importance_sum_24h,38
pre_asia_event_count,30
pre_london_importance_sum,24
max_importance_24h,14
has_avoid_london_24h,12
pre_london_event_count,5
has_avoid_asia_24h,3
has_avoid_both_24h,0
