feature,importance
pair_nzdusd,0.08901765942573547
event_hour,0.06380071491003036
rolling_std_5m_30,0.04673554375767708
event_weekday,0.0425320602953434
range_width_60,0.04185429960489273
event_year,0.0406729057431221
is_gbp_event,0.03741111606359482
pair,0.03557874262332916
ret_prev_15m,0.035427894443273544
avg_range_frac_60,0.03524553030729294
is_jpy_event,0.03508706018328667
ret_prev_5m,0.03403119370341301
ret_prev_240m,0.03347807377576828
rolling_std_15m_30,0.03301539272069931
ret_prev_60m,0.03291023522615433
pair_gbpjpy,0.030912647023797035
dist_from_mean_60,0.03031245805323124
event_month,0.02983633056282997
is_usd_event,0.028034944087266922
pair_eurjpy,0.0242888405919075
is_nzd_event,0.023836227133870125
pair_is_jpy_cross,0.023591522127389908
cat_agriculture,0.02092616818845272
is_eur_event,0.02005958929657936
pair_has_gbp_base,0.017047416418790817
avoid_asia,0.015332402661442757
cat_other,0.013825609348714352
cat_pmi,0.01345052570104599
risk_prior_halt,0.012901576235890388
risk_prior_reduce,0.010898771695792675
importance_score_filled,0.010575645603239536
cat_gdp,0.00993590708822012
cat_sentiment,0.00874814298003912
cat_auction,0.007491088937968016
cat_inflation,0.006148011423647404
pair_gbpusd,0.0030225724913179874
cat_employment,0.002025297610089183
avoid_london,0.0
avoid_both,0.0
pair_has_usd_quote,0.0
cat_central_bank,0.0
cat_retail_sales,0.0
cat_trade,0.0
cat_housing,0.0
cat_speech,0.0
