pair,risk_prior,event_category,rows
EURJPY,halt,inflation,152
EURJPY,halt,pmi,78
EURJPY,halt,gdp,65
EURJPY,reduce_risk,other,366
EURJPY,reduce_risk,inflation,174
EURJPY,reduce_risk,auction,131
EURJPY,reduce_risk,gdp,4
EURJPY,reduce_risk,pmi,1
GBPJPY,halt,inflation,349
GBPJPY,halt,pmi,245
GBPJPY,halt,gdp,107
GBPJPY,halt,employment,78
GBPJPY,reduce_risk,other,734
GBPJPY,reduce_risk,auction,351
GBPJPY,reduce_risk,sentiment,39
GBPUSD,halt,inflation,197
GBPUSD,halt,pmi,167
GBPUSD,halt,employment,121
GBPUSD,halt,gdp,54
GBPUSD,reduce_risk,auction,728
GBPUSD,reduce_risk,inflation,370
GBPUSD,reduce_risk,other,368
GBPUSD,reduce_risk,pmi,155
GBPUSD,reduce_risk,employment,126
GBPUSD,reduce_risk,gdp,52
GBPUSD,reduce_risk,sentiment,39
NZDUSD,halt,employment,43
NZDUSD,halt,gdp,12
NZDUSD,reduce_risk,auction,508
NZDUSD,reduce_risk,inflation,409
NZDUSD,reduce_risk,pmi,155
NZDUSD,reduce_risk,employment,126
NZDUSD,reduce_risk,gdp,65
