year,month,currency_norm,rows
2023,1,EUR,64
2023,1,GBP,78
2023,1,JPY,87
2023,1,NZD,26
2023,1,USD,522
2023,2,EUR,52
2023,2,GBP,75
2023,2,JPY,76
2023,2,NZD,30
2023,2,USD,490
2023,3,EUR,72
2023,3,GBP,81
2023,3,JPY,96
2023,3,NZD,33
2023,3,USD,558
2023,4,EUR,60
2023,4,GBP,68
2023,4,JPY,91
2023,4,NZD,27
2023,4,USD,513
2023,5,EUR,39
2023,5,GBP,80
2023,5,JPY,84
2023,5,NZD,37
2023,5,USD,522
2023,6,EUR,52
2023,6,GBP,81
2023,6,JPY,85
2023,6,NZD,32
2023,6,USD,552
2023,7,EUR,54
2023,7,GBP,68
2023,7,JPY,86
2023,7,NZD,25
2023,7,USD,511
2023,8,EUR,59
2023,8,GBP,80
2023,8,JPY,88
2023,8,NZD,33
2023,8,USD,535
2023,9,EUR,58
2023,9,GBP,81
2023,9,JPY,88
2023,9,NZD,33
2023,9,USD,520
2023,10,EUR,54
2023,10,GBP,74
2023,10,JPY,87
2023,10,NZD,29
2023,10,USD,513
2023,11,EUR,59
2023,11,GBP,80
2023,11,JPY,81
2023,11,NZD,30
2023,11,USD,526
2023,12,EUR,36
2023,12,GBP,78
2023,12,JPY,97
2023,12,NZD,36
2023,12,USD,527
2024,1,EUR,63
2024,1,GBP,77
2024,1,JPY,83
2024,1,NZD,27
2024,1,USD,541
2024,2,EUR,35
2024,2,GBP,78
2024,2,JPY,77
2024,2,NZD,35
2024,2,USD,504
2024,3,EUR,44
2024,3,GBP,83
2024,3,JPY,95
2024,3,NZD,34
2024,3,USD,551
2024,4,EUR,69
2024,4,GBP,77
2024,4,JPY,81
2024,4,NZD,27
2024,4,USD,526
2024,5,EUR,53
2024,5,GBP,77
2024,5,JPY,90
2024,5,NZD,34
2024,5,USD,539
2024,6,EUR,44
2024,6,GBP,76
2024,6,JPY,89
2024,6,NZD,33
2024,6,USD,538
2024,7,EUR,72
2024,7,GBP,82
2024,7,JPY,79
2024,7,NZD,27
2024,7,USD,539
2024,8,EUR,60
2024,8,GBP,84
2024,8,JPY,87
2024,8,NZD,36
2024,8,USD,557
2024,9,EUR,38
2024,9,GBP,73
2024,9,JPY,83
2024,9,NZD,36
2024,9,USD,540
2024,10,EUR,62
2024,10,GBP,75
2024,10,JPY,81
2024,10,NZD,25
2024,10,USD,547
2024,11,EUR,64
2024,11,GBP,83
2024,11,JPY,85
2024,11,NZD,35
2024,11,USD,519
2024,12,EUR,35
2024,12,GBP,76
2024,12,JPY,99
2024,12,NZD,36
2024,12,USD,528
2025,1,EUR,63
2025,1,GBP,72
2025,1,JPY,83
2025,1,NZD,27
2025,1,USD,570
2025,2,EUR,35
2025,2,GBP,77
2025,2,JPY,81
2025,2,NZD,35
2025,2,USD,507
2025,3,EUR,36
2025,3,GBP,73
2025,3,JPY,78
2025,3,NZD,37
2025,3,USD,516
2025,4,EUR,36
2025,4,GBP,66
2025,4,JPY,73
2025,4,NZD,26
2025,4,USD,509
2025,5,EUR,57
2025,5,GBP,76
2025,5,JPY,92
2025,5,NZD,40
2025,5,USD,551
2025,6,EUR,34
2025,6,GBP,73
2025,6,JPY,86
2025,6,NZD,30
2025,6,USD,523
2025,7,EUR,46
2025,7,GBP,71
2025,7,JPY,80
2025,7,NZD,25
2025,7,USD,524
2025,8,EUR,63
2025,8,GBP,67
2025,8,JPY,85
2025,8,NZD,35
2025,8,USD,520
2025,9,EUR,34
2025,9,GBP,80
2025,9,JPY,82
2025,9,NZD,32
2025,9,USD,528
2025,10,EUR,55
2025,10,GBP,111
2025,10,JPY,86
2025,10,NZD,27
2025,10,USD,507
2025,11,EUR,59
2025,11,GBP,76
2025,11,JPY,84
2025,11,NZD,36
2025,11,USD,600
2025,12,EUR,34
2025,12,GBP,82
2025,12,JPY,97
2025,12,NZD,36
2025,12,USD,662
2026,1,EUR,79
2026,1,GBP,80
2026,1,JPY,86
2026,1,NZD,28
2026,1,USD,614
2026,2,EUR,62
2026,2,GBP,79
2026,2,JPY,82
2026,2,NZD,36
2026,2,USD,550
2026,3,EUR,54
2026,3,GBP,84
2026,3,JPY,87
2026,3,NZD,33
2026,3,USD,548
