event_name,currency_norm,importance_label,rows,forecast_non_null,actual_non_null,previous_non_null
Nat Gas-EIA Implied Flow*,USD,low_or_unknown,173,0,166,173
Foreign Bond Investment,JPY,low_or_unknown,167,0,159,167
Foreign Invest JP Bonds*,JPY,low,167,0,166,167
EIA Wkly Gsln Stk*,USD,low_or_unknown,166,164,150,166
3M Bill Auc - HAP*,USD,low,166,0,158,158
Export Corn Inspected *,USD,low_or_unknown,166,0,163,166
Foreign Invest JP Stock,JPY,low,166,0,157,166
Export Wheat Inspected *,USD,low_or_unknown,166,0,162,166
Exp Soybean Inspected *,USD,low_or_unknown,166,0,161,166
3M Bill Auc - BTC*,USD,low,166,0,159,159
Foreign Stock Investment*,JPY,low,166,0,164,166
EIA Wkly Refn Util*,USD,low_or_unknown,165,163,153,165
EIA Wkly Dist. Stk*,USD,low,165,163,152,165
EIA Wkly Crude Stk*,USD,low,165,163,151,165
6M Bill Auc - TA*,USD,low,165,0,158,158
MBA Purchase Index,USD,low_or_unknown,165,0,155,165
EIA Weekly Crude Imports*,USD,low_or_unknown,165,0,153,165
EIA Wkly Crude Cushing*,USD,low_or_unknown,165,0,152,165
3M Bill Auc - TA*,USD,low,165,0,160,160
EIA Weekly Crude Runs*,USD,low_or_unknown,165,0,149,165
Mortgage Refinance Index,USD,low_or_unknown,165,0,155,165
EIA Weekly Gasoline O/P*,USD,low_or_unknown,165,0,152,165
6M Bill Auc - BTC*,USD,low,165,0,159,159
MBA Mortgage Applications,USD,low_or_unknown,165,0,153,165
MBA 30-Yr Mortgage Rate,USD,low_or_unknown,165,0,156,165
Mortgage Market Index,USD,low_or_unknown,165,0,154,165
EIA Weekly Rfg Stocks*,USD,low_or_unknown,165,0,150,165
Soybn Oil Exp Sls Net Total *,USD,low_or_unknown,165,0,160,165
6M Bill Auc - HAP*,USD,low,165,0,158,158
EIA Weekly Heatoil Stock*,USD,low_or_unknown,165,0,147,165
EIA Ethanol Ref Stk*,USD,low,164,0,160,164
EIA Weekly Dist Output*,USD,low_or_unknown,164,0,145,164
6M Bill Auc - HR*,USD,low,164,0,157,157
Soymeal Exp Sls Next Yr Net *,USD,low_or_unknown,164,0,156,164
EIA Weekly Prods Imports*,USD,low_or_unknown,164,0,150,164
3M Bill Auc - HR*,USD,low,164,0,159,159
EIA-Nat Gas Chg Bcf*,USD,low,163,161,156,163
4W Bill Auc - HAP*,USD,low,163,0,159,159
4W Bill Auc - BTC*,USD,low,163,0,158,158
EIA Ethanol Fuel Total*,USD,low,163,0,160,163
4W Bill Auc - HR*,USD,low,163,0,160,160
4W Bill Auc - TA*,USD,low,163,0,134,133
Wheat Export Sales New *,USD,low_or_unknown,162,0,152,162
Soybn Oil Exp Sls Nxt Yr Net *,USD,low_or_unknown,162,0,156,162
