pair,avoid_session,event_session,event_category,rows
EURJPY,asia,asia,pmi,78
EURJPY,london,london,gdp,4
GBPJPY,asia,asia,pmi,227
GBPJPY,asia,asia,inflation,196
GBPJPY,asia,asia,employment,78
GBPJPY,asia,asia,gdp,42
GBPJPY,london,london,pmi,18
GBPUSD,asia,asia,inflation,196
GBPUSD,asia,asia,pmi,149
GBPUSD,asia,asia,employment,79
GBPUSD,asia,asia,gdp,42
GBPUSD,london,london,inflation,154
GBPUSD,london,london,employment,42
GBPUSD,london,london,gdp,24
GBPUSD,london,london,pmi,18
NZDUSD,asia,asia,employment,1
NZDUSD,london,london,inflation,154
NZDUSD,london,london,employment,42
NZDUSD,london,london,gdp,24
