year,month,rows,currency_count,event_name_count
2023,1,777,5,497
2023,2,723,5,493
2023,3,840,5,516
2023,4,759,5,512
2023,5,762,5,508
2023,6,802,5,509
2023,7,744,5,501
2023,8,795,5,515
2023,9,780,5,535
2023,10,757,5,500
2023,11,776,5,507
2023,12,774,5,527
2024,1,791,5,506
2024,2,729,5,482
2024,3,807,5,531
2024,4,780,5,495
2024,5,793,5,511
2024,6,780,5,526
2024,7,799,5,502
2024,8,824,5,534
2024,9,770,5,508
2024,10,790,5,493
2024,11,786,5,534
2024,12,774,5,518
2025,1,815,5,503
2025,2,735,5,493
2025,3,740,5,498
2025,4,710,5,463
2025,5,816,5,531
2025,6,746,5,501
2025,7,746,5,469
2025,8,770,5,523
2025,9,756,5,494
2025,10,786,5,457
2025,11,855,5,532
2025,12,911,5,524
2026,1,887,5,514
2026,2,809,5,542
2026,3,809,5,528
2026,4,805,5,498
2026,5,598,5,432
