pair,event_category,reaction_label,rows
EURJPY,auction,trend_danger,3057
EURJPY,auction,normal,1098
EURJPY,other,trend_danger,379
EURJPY,inflation,trend_danger,223
EURJPY,other,normal,130
EURJPY,inflation,normal,94
EURJPY,auction,whipsaw_danger,86
EURJPY,sentiment,trend_danger,72
EURJPY,gdp,trend_danger,52
EURJPY,pmi,trend_danger,52
EURJPY,sentiment,normal,44
EURJPY,auction,volatility_expansion,28
EURJPY,pmi,normal,25
EURJPY,gdp,normal,14
EURJPY,other,whipsaw_danger,12
EURJPY,inflation,volatility_expansion,6
EURJPY,inflation,whipsaw_danger,3
EURJPY,gdp,whipsaw_danger,3
EURJPY,other,volatility_expansion,1
EURJPY,pmi,whipsaw_danger,1
EURJPY,pmi,volatility_expansion,1
EURJPY,sentiment,whipsaw_danger,1
GBPJPY,auction,trend_danger,3314
GBPJPY,auction,normal,1322
GBPJPY,other,trend_danger,531
GBPJPY,inflation,trend_danger,244
GBPJPY,other,normal,182
GBPJPY,pmi,trend_danger,164
GBPJPY,auction,whipsaw_danger,119
GBPJPY,inflation,normal,89
GBPJPY,pmi,normal,71
GBPJPY,gdp,trend_danger,70
GBPJPY,auction,volatility_expansion,62
GBPJPY,employment,trend_danger,40
GBPJPY,gdp,normal,37
GBPJPY,sentiment,trend_danger,29
GBPJPY,employment,normal,26
GBPJPY,other,whipsaw_danger,13
GBPJPY,inflation,volatility_expansion,10
GBPJPY,sentiment,normal,9
GBPJPY,other,volatility_expansion,8
GBPJPY,employment,whipsaw_danger,8
GBPJPY,pmi,whipsaw_danger,7
GBPJPY,inflation,whipsaw_danger,6
GBPJPY,employment,volatility_expansion,4
GBPJPY,pmi,volatility_expansion,3
GBPJPY,sentiment,volatility_expansion,1
GBPUSD,auction,trend_danger,10377
GBPUSD,auction,normal,5696
GBPUSD,agriculture,trend_danger,2132
GBPUSD,agriculture,normal,1057
GBPUSD,other,trend_danger,928
GBPUSD,auction,whipsaw_danger,585
GBPUSD,inflation,trend_danger,555
GBPUSD,other,normal,495
GBPUSD,inflation,normal,314
GBPUSD,pmi,trend_danger,288
GBPUSD,employment,trend_danger,252
GBPUSD,agriculture,whipsaw_danger,183
GBPUSD,pmi,normal,173
GBPUSD,auction,volatility_expansion,132
GBPUSD,sentiment,trend_danger,125
GBPUSD,employment,normal,119
GBPUSD,sentiment,normal,89
GBPUSD,gdp,trend_danger,77
GBPUSD,inflation,whipsaw_danger,75
GBPUSD,agriculture,volatility_expansion,59
GBPUSD,gdp,normal,56
GBPUSD,other,whipsaw_danger,54
GBPUSD,employment,whipsaw_danger,43
GBPUSD,pmi,whipsaw_danger,41
GBPUSD,inflation,volatility_expansion,26
GBPUSD,other,volatility_expansion,12
GBPUSD,employment,volatility_expansion,11
GBPUSD,sentiment,whipsaw_danger,7
GBPUSD,pmi,volatility_expansion,7
GBPUSD,gdp,volatility_expansion,6
GBPUSD,gdp,whipsaw_danger,5
NZDUSD,auction,trend_danger,9202
NZDUSD,auction,normal,5108
NZDUSD,agriculture,trend_danger,2070
NZDUSD,auction,whipsaw_danger,959
NZDUSD,agriculture,normal,928
NZDUSD,other,trend_danger,729
NZDUSD,inflation,trend_danger,493
NZDUSD,other,normal,403
NZDUSD,auction,volatility_expansion,347
NZDUSD,agriculture,whipsaw_danger,309
NZDUSD,employment,trend_danger,203
NZDUSD,inflation,normal,187
NZDUSD,pmi,trend_danger,185
NZDUSD,inflation,whipsaw_danger,135
NZDUSD,agriculture,volatility_expansion,124
NZDUSD,sentiment,trend_danger,112
NZDUSD,pmi,normal,97
NZDUSD,other,whipsaw_danger,85
NZDUSD,gdp,trend_danger,83
NZDUSD,employment,normal,73
NZDUSD,sentiment,normal,62
NZDUSD,employment,whipsaw_danger,56
NZDUSD,pmi,whipsaw_danger,47
NZDUSD,inflation,volatility_expansion,36
NZDUSD,other,volatility_expansion,35
NZDUSD,gdp,normal,32
NZDUSD,gdp,whipsaw_danger,25
NZDUSD,sentiment,whipsaw_danger,15
NZDUSD,employment,volatility_expansion,15
NZDUSD,gdp,volatility_expansion,14
NZDUSD,pmi,volatility_expansion,13
NZDUSD,sentiment,volatility_expansion,4
