pair,risk_prior,reaction_label,rows
EURJPY,halt,trend_danger,201
EURJPY,halt,normal,83
EURJPY,halt,whipsaw_danger,7
EURJPY,halt,volatility_expansion,4
EURJPY,reduce_risk,trend_danger,103
EURJPY,reduce_risk,normal,55
EURJPY,reduce_risk,volatility_expansion,2
EURJPY,safe,trend_danger,3531
EURJPY,safe,normal,1267
EURJPY,safe,whipsaw_danger,99
EURJPY,safe,volatility_expansion,30
GBPJPY,halt,trend_danger,518
GBPJPY,halt,normal,223
GBPJPY,halt,whipsaw_danger,21
GBPJPY,halt,volatility_expansion,17
GBPJPY,safe,trend_danger,3874
GBPJPY,safe,normal,1513
GBPJPY,safe,whipsaw_danger,132
GBPJPY,safe,volatility_expansion,71
GBPUSD,halt,trend_danger,302
GBPUSD,halt,normal,198
GBPUSD,halt,whipsaw_danger,31
GBPUSD,halt,volatility_expansion,8
GBPUSD,reduce_risk,trend_danger,130
GBPUSD,reduce_risk,normal,72
GBPUSD,reduce_risk,whipsaw_danger,34
GBPUSD,reduce_risk,volatility_expansion,8
GBPUSD,safe,trend_danger,14302
GBPUSD,safe,normal,7729
GBPUSD,safe,whipsaw_danger,928
GBPUSD,safe,volatility_expansion,237
NZDUSD,halt,trend_danger,30
NZDUSD,halt,whipsaw_danger,12
NZDUSD,halt,normal,10
NZDUSD,halt,volatility_expansion,3
NZDUSD,reduce_risk,trend_danger,169
NZDUSD,reduce_risk,normal,59
NZDUSD,reduce_risk,whipsaw_danger,48
NZDUSD,reduce_risk,volatility_expansion,7
NZDUSD,safe,trend_danger,12878
NZDUSD,safe,normal,6821
NZDUSD,safe,whipsaw_danger,1571
NZDUSD,safe,volatility_expansion,578
