pair,event_category,event_name,rows,avg_abs_ret_180m,avg_trend_persistence
EURJPY,auction,Foreign Bond Investment,128,0.0017978037400087463,6818.453153671959
EURJPY,auction,Foreign Invest JP Bonds*,128,0.0017978037400087463,6818.453153671959
EURJPY,auction,Foreign Stock Investment*,128,0.0017978037400087463,6818.453153671959
GBPUSD,auction,MBA Mortgage Applications,127,0.0024108826512369242,36727.56762409337
GBPUSD,auction,Mortgage Market Index,127,0.0024108826512369242,36727.56762409337
GBPUSD,auction,MBA Purchase Index,127,0.0024108826512369242,36727.56762409337
GBPUSD,auction,MBA 30-Yr Mortgage Rate,127,0.0024108826512369242,36727.56762409337
GBPUSD,auction,Mortgage Refinance Index,127,0.0024108826512369242,36727.56762409337
EURJPY,auction,Foreign Invest JP Stock,127,0.0018033114494175274,6872.069821908458
GBPJPY,auction,Foreign Invest JP Bonds*,116,0.001891693553152859,55220.50789243412
GBPJPY,auction,Foreign Stock Investment*,116,0.001891693553152859,55220.50789243412
GBPJPY,auction,Foreign Bond Investment,116,0.001891693553152859,55220.50789243412
GBPJPY,auction,Foreign Invest JP Stock,115,0.0019013813440261586,55700.63137288015
GBPUSD,other,Redbook YY *,113,0.0022866453970718224,28.340100982342232
GBPUSD,auction,Nat Gas-EIA Implied Flow*,113,0.002048672786045726,3714.7765662310435
GBPUSD,auction,EIA Ethanol Ref Stk*,112,0.00197094469219954,27127.767389296874
GBPUSD,auction,EIA Wkly Gsln Stk*,112,0.0019146885509259044,27125.88835074117
NZDUSD,agriculture,Export Wheat Inspected *,112,0.0017143817149758837,10517.61780305277
NZDUSD,agriculture,Export Corn Inspected *,112,0.0017143817149758837,10517.61780305277
NZDUSD,agriculture,Exp Soybean Inspected *,112,0.0017143817149758837,10517.61780305277
GBPUSD,auction,EIA Ethanol Fuel Total*,111,0.0019740798919769633,27371.883703108764
GBPUSD,auction,EIA Wkly Crude Stk*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Wkly Refn Util*,111,0.001919149586699892,27370.184642703356
GBPUSD,other,EIA Weekly Gasoline O/P*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Wkly Crude Cushing*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Weekly Dist Output*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Weekly Heatoil Stock*,111,0.001919149586699892,27370.184642703356
GBPUSD,other,EIA Weekly Crude Runs*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Weekly Rfg Stocks*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Weekly Crude Imports*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Wkly Dist. Stk*,111,0.001919149586699892,27370.184642703356
GBPUSD,auction,EIA Weekly Prods Imports*,110,0.001918766822414919,27618.88904929373
GBPUSD,agriculture,Export Corn Inspected *,109,0.001547687832856645,19990.35364916949
GBPUSD,agriculture,Exp Soybean Inspected *,109,0.001547687832856645,19990.35364916949
GBPUSD,agriculture,Export Wheat Inspected *,109,0.001547687832856645,19990.35364916949
NZDUSD,other,Redbook YY *,108,0.002886738072236461,26462.83319739173
NZDUSD,auction,MBA Mortgage Applications,108,0.0027398932620636075,66421.8983083411
NZDUSD,auction,MBA Purchase Index,108,0.0027398932620636075,66421.8983083411
NZDUSD,auction,Mortgage Refinance Index,108,0.0027398932620636075,66421.8983083411
NZDUSD,auction,MBA 30-Yr Mortgage Rate,108,0.0027398932620636075,66421.8983083411
NZDUSD,auction,Mortgage Market Index,108,0.0027398932620636075,66421.8983083411
NZDUSD,auction,Nat Gas-EIA Implied Flow*,108,0.0022716142990119306,36482.33206896057
GBPUSD,auction,Soybn Oil Exp Sls Net Total *,107,0.0028335361422574985,8200.372054328835
GBPUSD,auction,Soymeal Exp Sls Next Yr Net *,107,0.0028335361422574985,8200.372054328835
GBPUSD,auction,EIA-Nat Gas Chg Bcf*,106,0.002037157921519446,3957.148655684879
GBPUSD,agriculture,Wheat Exp Sale Net Total *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybean Exp Sale Net Total *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybean Exp Sale Next Yr Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybean Export Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybeanmeal Exp Sale Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybean Export Sales New *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Wheat Export Sales New *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,US Pork Export Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,US Pork Export Sales New *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Beef Export Sales New *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Wheat Export Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Soybn Meal Exp Sls Net Total *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Beef Export Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Corn Exp Sale Next Yr Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Up Cotton Exp Sales New *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Corn Export Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Soybn Oil Exp Sls Nxt Yr Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,auction,Up Cotton Exp Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Corn Exp Sales Net Total *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Soybeanoil Exp Sales Net *,105,0.00283226576013945,8356.393533264916
GBPUSD,agriculture,Corn Export Sales New *,104,0.002840087137349613,8436.664800074932
GBPUSD,agriculture,Wheat Exp Sale Next Yr Net *,103,0.002841927121483537,8518.360032214618
NZDUSD,auction,4W Bill Auc - BTC*,102,0.0020833580530834977,11045.5121867264
NZDUSD,auction,4W Bill Auc - HAP*,102,0.0020833580530834977,11045.5121867264
NZDUSD,auction,4W Bill Auc - TA*,102,0.0020833580530834977,11045.5121867264
NZDUSD,auction,4W Bill Auc - HR*,102,0.0020833580530834977,11045.5121867264
NZDUSD,auction,Soymeal Exp Sls Next Yr Net *,100,0.0035305159812767974,38925.16519313473
NZDUSD,auction,Soybn Oil Exp Sls Net Total *,100,0.0035305159812767974,38925.16519313473
NZDUSD,auction,EIA-Nat Gas Chg Bcf*,100,0.0022736542483854367,39400.31383488739
NZDUSD,auction,EIA Ethanol Ref Stk*,99,0.002481526261942215,16738.54824794939
NZDUSD,auction,3M Bill Auc - BTC*,99,0.0017172589216721188,716.3314520543365
NZDUSD,auction,3M Bill Auc - HAP*,99,0.0017172589216721188,716.3314520543365
NZDUSD,auction,Up Cotton Exp Sales New *,98,0.003556875144532639,39719.42047810785
NZDUSD,auction,Up Cotton Exp Sales Net *,98,0.003556875144532639,39719.42047810785
NZDUSD,agriculture,Soybean Export Sales New *,98,0.003556875144532639,39719.42047810785
NZDUSD,agriculture,Corn Exp Sale Next Yr Net *,98,0.003556875144532639,39719.42047810785
