pair,event_category,event_name,rows,avg_max_abs_ret_60m
NZDUSD,auction,Soybn Oil Exp Sls Net Total *,39,0.0023828212949052333
NZDUSD,auction,Soymeal Exp Sls Next Yr Net *,39,0.0023828212949052333
NZDUSD,auction,Up Cotton Exp Sales New *,38,0.0023899746973680214
NZDUSD,agriculture,Soybean Export Sales Net *,38,0.0023899746973680214
NZDUSD,agriculture,Wheat Export Sales New *,38,0.0023899746973680214
NZDUSD,auction,Beef Export Sales New *,38,0.0023899746973680214
NZDUSD,auction,Beef Export Sales Net *,38,0.0023899746973680214
NZDUSD,agriculture,Corn Export Sales Net *,38,0.0023899746973680214
NZDUSD,auction,Soybn Meal Exp Sls Net Total *,38,0.0023899746973680214
NZDUSD,agriculture,Soybean Exp Sale Next Yr Net *,38,0.0023899746973680214
NZDUSD,auction,US Pork Export Sales Net *,38,0.0023899746973680214
NZDUSD,agriculture,Soybean Export Sales New *,38,0.0023899746973680214
NZDUSD,auction,Up Cotton Exp Sales Net *,38,0.0023899746973680214
NZDUSD,agriculture,Wheat Exp Sale Net Total *,38,0.0023899746973680214
NZDUSD,agriculture,Soybean Exp Sale Net Total *,38,0.0023899746973680214
NZDUSD,agriculture,Corn Export Sales New *,38,0.0023899746973680214
NZDUSD,agriculture,Soybeanoil Exp Sales Net *,38,0.0023899746973680214
NZDUSD,auction,US Pork Export Sales New *,38,0.0023899746973680214
NZDUSD,agriculture,Corn Exp Sales Net Total *,38,0.0023899746973680214
NZDUSD,agriculture,Corn Exp Sale Next Yr Net *,38,0.0023899746973680214
NZDUSD,agriculture,Soybeanmeal Exp Sale Net *,38,0.0023899746973680214
NZDUSD,agriculture,Wheat Exp Sale Next Yr Net *,38,0.0023899746973680214
NZDUSD,auction,Soybn Oil Exp Sls Nxt Yr Net *,38,0.0023899746973680214
NZDUSD,agriculture,Wheat Export Sales Net *,38,0.0023899746973680214
NZDUSD,employment,Jobless Clm 4Wk Avg*,29,0.0024388843096335992
NZDUSD,auction,Initial Jobless Clm*,28,0.0023885760343383203
NZDUSD,auction,Cont Jobless Clm*,28,0.0023885760343383203
NZDUSD,other,Redbook YY *,22,0.002171404684382546
GBPUSD,agriculture,Soybean Export Sales Net *,21,0.0020224843297932385
GBPUSD,agriculture,Soybean Export Sales New *,21,0.0020224843297932385
GBPUSD,auction,Up Cotton Exp Sales Net *,21,0.0020224843297932385
GBPUSD,auction,Soybn Oil Exp Sls Net Total *,21,0.0020224843297932385
GBPUSD,agriculture,Corn Export Sales New *,21,0.0020224843297932385
GBPUSD,agriculture,Wheat Export Sales New *,21,0.0020224843297932385
GBPUSD,agriculture,Corn Export Sales Net *,21,0.0020224843297932385
GBPUSD,agriculture,Soybeanoil Exp Sales Net *,21,0.0020224843297932385
GBPUSD,agriculture,Wheat Exp Sale Next Yr Net *,21,0.0020224843297932385
GBPUSD,agriculture,Soybean Exp Sale Next Yr Net *,21,0.0020224843297932385
GBPUSD,agriculture,Wheat Export Sales Net *,21,0.0020224843297932385
GBPUSD,auction,US Pork Export Sales Net *,21,0.0020224843297932385
GBPUSD,auction,Beef Export Sales New *,21,0.0020224843297932385
GBPUSD,agriculture,Corn Exp Sales Net Total *,21,0.0020224843297932385
GBPUSD,auction,US Pork Export Sales New *,21,0.0020224843297932385
GBPUSD,auction,Soybn Oil Exp Sls Nxt Yr Net *,21,0.0020224843297932385
GBPUSD,agriculture,Soybeanmeal Exp Sale Net *,21,0.0020224843297932385
GBPUSD,auction,Beef Export Sales Net *,21,0.0020224843297932385
GBPUSD,auction,Up Cotton Exp Sales New *,21,0.0020224843297932385
GBPUSD,agriculture,Soybean Exp Sale Net Total *,21,0.0020224843297932385
GBPUSD,auction,Soybn Meal Exp Sls Net Total *,21,0.0020224843297932385
GBPUSD,agriculture,Corn Exp Sale Next Yr Net *,21,0.0020224843297932385
GBPUSD,auction,Soymeal Exp Sls Next Yr Net *,21,0.0020224843297932385
GBPUSD,agriculture,Wheat Exp Sale Net Total *,21,0.0020224843297932385
NZDUSD,auction,EIA Weekly Dist Output*,20,0.002253600209306887
NZDUSD,auction,EIA Wkly Gsln Stk*,20,0.002253600209306887
NZDUSD,other,EIA Weekly Gasoline O/P*,20,0.002253600209306887
NZDUSD,auction,EIA Weekly Heatoil Stock*,20,0.002253600209306887
NZDUSD,auction,EIA Wkly Dist. Stk*,20,0.002253600209306887
NZDUSD,auction,EIA Wkly Crude Cushing*,20,0.002253600209306887
NZDUSD,auction,EIA Wkly Refn Util*,20,0.002253600209306887
NZDUSD,auction,EIA Wkly Crude Stk*,20,0.002253600209306887
NZDUSD,auction,EIA Weekly Rfg Stocks*,20,0.002253600209306887
NZDUSD,auction,EIA Weekly Crude Imports*,20,0.002253600209306887
NZDUSD,other,EIA Weekly Crude Runs*,20,0.002253600209306887
GBPUSD,auction,EIA-Nat Gas Chg Bcf*,20,0.0019650992015147503
GBPUSD,auction,Nat Gas-EIA Implied Flow*,20,0.0019650992015147503
