year,month,rows
2023,1,114088
2023,2,114350
2023,3,134396
2023,4,118188
2023,5,131954
2023,6,127857
2023,7,122404
2023,8,133215
2023,9,118498
2023,10,129054
2023,11,128600
2023,12,121095
2024,1,129539
2024,2,116350
2024,3,120585
2024,4,125662
2024,5,128653
2024,6,115316
2024,7,130003
2024,8,125134
2024,9,120829
2024,10,129054
2024,11,115235
2024,12,120026
2025,1,120970
2025,2,111978
2025,3,119711
2025,4,119334
2025,5,124870
2025,6,120119
2025,7,131884
2025,8,120063
2025,9,125949
2025,10,130828
2025,11,114359
2025,12,123852
2026,1,120214
2026,2,111528
2026,3,126642
