kind,column
feature,importance_score_filled
feature,event_year
feature,event_month
feature,event_weekday
feature,event_hour
feature,risk_prior_halt
feature,risk_prior_reduce
feature,avoid_asia
feature,avoid_london
feature,avoid_both
feature,is_jpy_event
feature,is_gbp_event
feature,is_usd_event
feature,is_eur_event
feature,is_nzd_event
feature,pair_is_jpy_cross
feature,pair_has_gbp_base
feature,pair_has_usd_quote
feature,cat_central_bank
feature,cat_inflation
feature,cat_employment
feature,cat_gdp
feature,cat_pmi
feature,cat_retail_sales
feature,cat_trade
feature,cat_housing
feature,cat_sentiment
feature,cat_speech
feature,cat_auction
feature,cat_agriculture
feature,cat_other
feature,pair_eurjpy
feature,pair_gbpjpy
feature,pair_gbpusd
feature,pair_nzdusd
target,y_trend_danger
target,y_whipsaw_danger
target,y_volatility_expansion
target,y_post_news_session_risk
